"rnk";"All";"DEU_suddeu";"FRA_figaro";"GBR_indept";"TUN_afrman";"TUR_dunya"
1;"E.U.";"E.U.";"E.U.";"E.U.";"E.U.";"E.U."
2;"Europe";"Europe";"Europe";"Europe";"Africa";"Europe"
3;"Africa";"NATO";"NATO";"Europa League (UEFA)";"Europe";"Mediterranean"
4;"NATO";"Europa League (UEFA)";"Africa";"Mid East";"EBRD";"Asia"
5;"Mediterranean";"Africa";"Mediterranean";"NATO";"Mediterranean";"Africa"
6;"Europa League (UEFA)";"Mediterranean";"Alpeia";"Africa";"Arab countries";"NATO"
7;"Asia";"Mid East";"Asia";"Arctic";"Maghrib";"Black Sea"
8;"Mid East";"Alpeia";"Sahel";"Mediterranean";"Sahel";"Europa League (UEFA)"
9;"Alpeia";"Asia";"Amazon";"Occident";"NATO";"EBRD"
10;"Arctic";"Balkans";"Europa League (UEFA)";"Commonwealth";"Francophonie ";"Mid East"
